,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,1,2,3,4,2020-09-16 19:00:00,9.41,9.41,9.4,9.4,400,False,False,9.4,9.4,9.4,
1,2,3,4,5,2020-09-16 19:01:00,9.41,9.41,9.405,9.41,1340,False,False,9.403333333333334,9.40019801980198,9.40003992015968,4.246825497711271e-06
2,3,4,5,6,2020-09-16 19:02:00,9.41,9.42,9.405,9.42,3629,False,False,9.408888888888887,9.400590138221744,9.400119601117128,8.476661601752866e-06
3,4,5,6,7,2020-09-16 19:03:00,9.42,9.42,9.41,9.42,1600,False,False,9.412592592592592,9.40097449192032,9.400198963986918,8.442751066928267e-06
4,5,6,7,8,2020-09-16 19:04:00,9.41,9.41,9.41,9.41,398,False,False,9.411728395061731,9.401153214852592,9.400238089879183,4.162240864857836e-06
5,6,7,8,9,2020-09-16 19:05:00,9.41,9.41,9.4,9.41,5262,False,False,9.411152263374486,9.401328398716897,9.400277059580263,4.14560787809215e-06
6,7,8,9,2020-09-16 19:10:00,,9.4,9.405,9.4,9.405,800,False,False,9.409101508916327,9.401401103692802,9.400295913633837,2.0056912632959722e-06
7,8,9,2020-09-16 19:15:00,,,9.325,9.325,9.315,9.315,1100,False,False,9.37773433927755,9.399690190748386,9.3999554109846,-3.622254579704887e-05
8,9,2020-09-16 19:20:00,,,,9.335,9.335,9.305,9.305,1947,False,False,9.353489559518367,9.39781513746624,9.399576347467695,-4.032609734094805e-05
9,2020-09-16 19:24:00,,,,,9.305,9.32,9.305,9.32,5220,False,False,9.342326373012245,9.396274243655027,9.399258677417924,-3.3796209321312893e-05
