,Unnamed: 0,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,2020-09-16 18:56:00,11.945,11.97,11.94,11.97,4939,False,False,11.97,11.97,11.97,
1,2020-09-16 18:57:00,11.97,11.97,11.945,11.95,7406,False,False,11.963333333333335,11.96960396039604,11.96992015968064,-6.670035034406219e-06
2,2020-09-16 18:58:00,11.945,11.96,11.94,11.96,2814,False,False,11.962222222222225,11.969413782962455,11.969880558244787,-3.3084126981330893e-06
3,2020-09-16 18:59:00,11.96,11.97,11.945,11.95,7104,False,False,11.958148148148151,11.969029351616664,11.96980119473882,-6.630267159413172e-06
4,2020-09-16 19:00:00,11.945,11.95,11.925,11.93,13051,False,False,11.948765432098767,11.968256493168813,11.969642307733874,-1.3273988628492715e-05
5,2020-09-16 19:01:00,11.92,11.94,11.915,11.93,5351,False,False,11.942510288065845,11.967498938848633,11.96948405500839,-1.3221174151700765e-05
6,2020-09-16 19:02:00,11.92,11.925,11.875,11.89,3089,False,False,11.925006858710566,11.965964306396186,11.96916675339159,-2.6509214210213017e-05
7,2020-09-16 19:03:00,11.885,11.885,11.86,11.865,6673,False,False,11.905004572473713,11.963965013200221,11.96875091804871,-3.474221317556481e-05
8,2020-09-16 19:04:00,11.87,11.875,11.85,11.86,4867,False,False,11.890003048315807,11.961906300067543,11.968316782647321,-3.62724067335396e-05
9,2020-09-16 19:05:00,11.86,11.87,11.82,11.825,2857,False,False,11.868335365543873,11.959195284224622,11.967744659762499,-4.7803120121980847e-05
