,Unnamed: 0,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,2020-09-16 18:56:00,5.45,5.45,5.445,5.445,7003,False,False,5.445,5.445,5.445,
1,2020-09-16 18:57:00,5.44,5.445,5.435,5.44,47707,False,False,5.443333333333333,5.4449009900990095,5.44498003992016,-3.665763056104332e-06
2,2020-09-16 18:58:00,5.44,5.44,5.44,5.44,5877,False,False,5.442222222222223,5.444803940790119,5.444960159521277,-3.651142655658468e-06
3,2020-09-16 18:59:00,5.44,5.45,5.44,5.45,2586,False,False,5.4448148148148166,5.444906833051701,5.4449802786449455,3.694999243020192e-06
4,2020-09-16 19:00:00,5.44,5.445,5.44,5.44,12303,False,False,5.443209876543212,5.444809668040775,5.444960397293068,-3.6513175178942703e-06
5,2020-09-16 19:01:00,5.44,5.45,5.44,5.445,4770,False,False,5.443806584362142,5.4448134369904615,5.4449605553877065,2.903503926177109e-08
6,2020-09-16 19:02:00,5.445,5.445,5.44,5.44,14468,False,False,5.442537722908095,5.444718121406493,5.444940752771388,-3.6368704817713034e-06
7,2020-09-16 19:03:00,5.44,5.44,5.44,5.44,6046,False,False,5.441691815272063,5.444624693259829,5.444921029207431,-3.622365210897982e-06
8,2020-09-16 19:04:00,5.44,5.445,5.44,5.44,18045,False,False,5.441127876848043,5.444533115175476,5.4449013843802545,-3.6079177402337233e-06
9,2020-09-16 19:05:00,5.44,5.44,5.43,5.43,23291,False,False,5.4374185845653615,5.444245330716555,5.444841897815863,-1.0925186737509307e-05
